tmdb_movie_id,tmdb_director_id,movie_title
809,12080,Shrek 2
10192,64151,Shrek Forever After
8358,24,Cast Away
45881,130482,The Bridge of San Luis Rey
1084199,1087245,Companion
1287141,1941982,Pillion
615777,136495,Babylon
57158,108,The Hobbit: The Desolation of Smaug
537915,1586194,After
591,6159,The Da Vinci Code
11503,5140,The Serpent and the Rainbow
49160,51715,The Time Travelers
181812,15344,Star Wars: The Rise of Skywalker
1111873,1039527,Abigail
1111873,66681,Abigail
568124,76595,Encanto
568124,1318201,Encanto
72331,23430,Abraham Lincoln: Vampire Hunter
10830,518,Matilda
489,5216,Good Will Hunting
10020,62047,Beauty and the Beast
10020,62048,Beauty and the Beast
10644,648,The Unbearable Lightness of Being
298618,1113116,The Flash
605722,60922,Long Distance
605722,60923,Long Distance
196254,80948,Barbie Mariposa & the Fairy Princess
379,1223,Miller's Crossing
630,9049,The Wizard of Oz
20943,36797,The Ugly Truth
1087891,30310,The Amateur
75656,18865,Now You See Me
50646,56411,"Crazy, Stupid, Love."
50646,56412,"Crazy, Stupid, Love."
49521,15217,Man of Steel
423204,76422,Angel Has Fallen
523077,1930866,Running with the Devil
670292,129894,The Creator
748783,61411,The Garfield Movie
44833,36602,Battleship
1519168,2735733,The Jester 2
561,10943,Constantine
1035048,1921,Elevation
1842,66224,The Legend of Boggy Creek
508442,12890,Soul
333339,488,Ready Player One
318256,1036815,Hot Girls Wanted
318256,1036816,Hot Girls Wanted
10837,67056,DuckTales: The Movie - Treasure of the Lost Lamp
481880,9181,Trial by Fire
423,3556,The Pianist
321612,15557,Beauty and the Beast
311,4385,Once Upon a Time in America
1426776,80602,STRAW
1151031,2070453,Bring Her Back
1151031,2070452,Bring Her Back
530385,1145520,Midsommar
76341,20629,Mad Max: Fury Road
493922,1145520,Hereditary
1579,2461,Apocalypto
1571470,1400942,The Rats: A Witcher Tale
56292,7087,Mission: Impossible - Ghost Protocol
601,488,E.T. the Extra-Terrestrial
1091,11770,The Thing
398818,78160,Call Me by Your Name
640,488,Catch Me If You Can
1136867,2518227,Materialists
9314,28898,Nineteen Eighty-Four
1422096,2831618,Good Boy
161,1884,Ocean's Eleven
604,9340,The Matrix Reloaded
604,9339,The Matrix Reloaded
62177,126638,Brave
62177,59803,Brave
419472,67360,The Polka King
10195,11181,Thor
70981,578,Prometheus
1271,15217,300
40760,1062093,Sorority House Massacre
920,7879,Cars
429417,22810,Ghost Stories
429417,173298,Ghost Stories
1371185,53267,Song Sung Blue
76338,47005,Thor: The Dark World
749170,1169024,Heads of State
534,36425,Terminator Salvation
11357,56998,Halloween 4: The Return of Michael Myers
1359,16378,American Psycho
801335,126932,Girl in the Basement
10766,9108,Damien - Omen II
621,8876,Grease
4233,5140,Scream 2
102382,87742,The Amazing Spider-Man 2
940551,1092607,Migration
985939,90812,Fall
927254,567562,The Twits
95,865,Armageddon
257344,10965,Pixels
17692,8558,Jaws 3-D
566525,1144604,Shang-Chi and the Legend of the Ten Rings
1014779,2938895,The Figo Affair: The Transfer That Changed Football
1014779,1970504,The Figo Affair: The Transfer That Changed Football
354285,1117026,The Sense of an Ending
351286,51894,Jurassic World: Fallen Kingdom
157350,17329,Divergent
43818,93906,Pride and Prejudice
1181678,3009489,¿Quieres ser mi hijo?
766507,568322,Prey
8363,54733,Superbad
676547,120245,Prey for the Devil
284053,55934,Thor: Ragnarok
76203,72757,12 Years a Slave
575264,9033,Mission: Impossible - Dead Reckoning Part One
870028,77003,The Accountant²
348893,100234,Boyka: Undisputed IV
776503,154865,CODA
251,3415,Ghost
273481,137427,Sicario
1064028,2263272,Subservience
1242011,1393127,Together
1175174,152249,Fackham Hall
49013,7879,Cars 2
299537,53068,Captain Marvel
299537,53069,Captain Marvel
772,10965,Home Alone 2: Lost in New York
33475,29627,Bud Abbott and Lou Costello Meet the Invisible Man
217,488,Indiana Jones and the Kingdom of the Crystal Skull
82690,165787,Wreck-It Ralph
402900,23964,Ocean's Eight
7512,17403,Idiocracy
1042834,6159,Eden
1594,1927,A Shot in the Dark
607,5174,Men in Black
675353,93364,Sonic the Hedgehog 2
68734,880,Argo
1088166,3055,Relay
37724,39,Skyfall
889737,57130,Joker: Folie à Deux
254,108,King Kong
490132,7396,Green Book
10423,18878,Dragon: The Bruce Lee Story
63,280,Twelve Monkeys
1106289,20400,The Pickup
127585,9032,X-Men: Days of Future Past
166426,20308,Pirates of the Caribbean: Dead Men Tell No Tales
166426,20307,Pirates of the Caribbean: Dead Men Tell No Tales
2109,11091,Rush Hour
24476,69741,Beethoven's 3rd
1072790,82511,Anyone But You
207703,957,Kingsman: The Secret Service
510,3974,One Flew Over the Cuckoo's Nest
615,2461,The Passion of the Christ
326,4755,Snakes on a Plane
240832,59,Lucy
941,7187,Lethal Weapon
283591,53334,The Secret Scripture
14620,26714,The Butterfly Effect 2
513691,77295,The Debt Collector
629,9032,The Usual Suspects
1010756,16938,The Strangers: Chapter 2
37135,15774,Tarzan
37135,15775,Tarzan
629542,1261455,The Bad Guys
1734,7775,The Mummy Returns
293167,236539,Kong: Skull Island
10768,43513,The Final Conflict
667538,1551545,Transformers: Rise of the Beasts
281338,32278,War for the Planet of the Apes
12155,510,Alice in Wonderland
260514,1443386,Cars 3
1949,7467,Zodiac
42709,20921,"Silent Night, Deadly Night III: Better Watch Out!"
43754,87183,The Killing Jar
29343,194568,Humanoids from the Deep
11172,18323,Music and Lyrics
479455,37932,Men in Black: International
463257,1546658,The Peanut Butter Falcon
463257,2396600,The Peanut Butter Falcon
11544,66193,Lilo & Stitch
11544,69797,Lilo & Stitch
609681,1795072,The Marvels
438148,8023,Minions: The Rise of Gru
10442,15106,So I Married an Axe Murderer
177699,81809,Alan Partridge: Alpha Papa
16205,80006,Jack Brooks: Monster Slayer
333484,20907,The Magnificent Seven
284052,55499,Doctor Strange
10555,12058,Shark Tale
10555,65629,Shark Tale
10555,65630,Shark Tale
11970,15811,Hercules
11970,15810,Hercules
882096,146415,A California Christmas: City Lights
572802,2127,Aquaman and the Lost Kingdom
16958,6593,The Asphalt Jungle
34600,83961,Ernest Goes to Africa
28339,98132,Hard to Die
602,6046,Independence Day
13448,6159,Angels & Demons
19293,40940,Carry On Again Doctor
4951,40243,10 Things I Hate About You
102899,59026,Ant-Man
948,11770,Halloween
335977,366,Indiana Jones and the Dial of Destiny
6557,29214,27 Dresses
600,240,Full Metal Jacket
577922,525,Tenet
22309,21217,The Fighting Temptations
1835,19333,"Farewell, My Lovely"
438695,52842,Sing 2
595149,2675,Death of Me
10607,45649,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
1891,10930,The Empire Strikes Back
9757,53177,Norbit
7445,53334,Brothers
107,956,Snatch
8467,7396,Dumb and Dumber
799583,956,The Ministry of Ungentlemanly Warfare
508943,930567,Luca
1126166,2461,Flight Risk
24747,63943,Bobby Jones: Stroke of Genius
36915,18500,Heaven's Prisoners
98566,66739,Teenage Mutant Ninja Turtles
43575,1085093,Rudolph the Red-Nosed Reindeer & the Island of Misfit Toys
623958,587376,The Bay of Silence
1724,18865,The Incredible Hulk
645710,856440,The Voyeurs
44896,1704,Rango
141052,15217,Justice League
718821,931952,Twisters
14,39,American Beauty
33477,30099,"Bud Abbott and Lou Costello Meet the Killer, Boris Karloff"
441168,566987,From Straight A's to XXX
620,8858,Ghostbusters
1319951,2232301,40 Acres
13056,56359,Punisher: War Zone
3933,34891,Corpse Bride
3933,510,Corpse Bride
377,5140,A Nightmare on Elm Street
165,24,Back to the Future Part II
273248,138,The Hateful Eight
1287536,1544795,Dora and the Search for Sol Dorado
454640,1245730,The Angry Birds Movie 2
454626,93364,Sonic the Hedgehog
9064,52194,Hellbound: Hellraiser II
